訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
社團法人台灣職業技能教育培訓協會,新北市,159236,凝膠美甲彩繪設計班,63,20,14370,20240908,20241103
台灣區電機電子工業同業公會,臺北市,159238,資安管理系統專業人才訓練基礎班,24,25,4550,20240905,20240926
台灣省電工器材業產業工會聯合會,新北市,159246,就業服務人員法令解析與人力仲介管理班,40,25,7590,20240825,20240922
新北市手工藝品商業同業公會,新北市,159249,台灣節慶風創意飾品設計班,47,28,9800,20240831,20241012
社團法人台灣美容技藝發展協會,臺北市,159252,美容講師培訓班,47,20,9200,20240903,20241029
社團法人中華全人發展促進會,新北市,159255,金融商品投資與技術分析實務班,42,30,5950,20240824,20241012
宜蘭縣勞工團體聯盟總會,宜蘭縣,159259,手作西點烘焙班,84,24,17300,20240831,20241116
宜蘭縣勞工團體聯盟總會,宜蘭縣,159271,手創編織商品應用班,55,20,12250,20240815,20241121
社團法人中華美容技藝促進協會附設職業訓練中心,新北市,159273,男子理髮技術訓練班,54,20,9400,20240907,20241102
新北市醬類從業人員職業工會,臺北市,159274,門市經營LINE客服應用實務班,36,26,7480,20240819,20240930
社團法人中華美容技藝促進協會附設職業訓練中心,新北市,159276,美體舒壓技術培訓班,54,20,9160,20240907,20241102
新北市醬類從業人員職業工會,臺北市,159277,門市經營圖文行銷設計實務班,36,26,7480,20240911,20241016
新北市工業成品全檢人員職業工會,新北市,159280,流行飾品創新金工實作班,47,25,12030,20240817,20240928
社團法人台灣國際工商人才發展交流協會,臺北市,159282,多益商務英文閱讀實用班,45,20,8500,20240904,20241211
社團法人中華跨域創新學會,臺北市,159285,ESG商業環境下的顧問式行銷模型班,30,20,5100,20240907,20241005
台北市園藝花卉業職業工會,臺北市,159288,園藝作物盆栽班,42,24,10300,20240817,20240928
新北市線上數位學習協進會,新北市,159291,品牌AI工具實戰與營運班,30,20,5900,20240817,20240914
宜蘭縣職業總工會,宜蘭縣,159292,裝飾彩繪藝術實作班,54,20,12020,20240903,20241105
社團法人宜蘭縣美學才藝發展協會,宜蘭縣,159293,新娘整體造型設計班,96,18,19700,20240828,20241216
宜蘭縣職業總工會,宜蘭縣,159295,時尚袋包布藝手作實作班,47,20,11990,20240902,20241021
宜蘭縣職業總工會,宜蘭縣,159296,手工皂文創製作班,60,20,13360,20240824,20241026
新北市工業會,新北市,159297,PMP國際專案管理訓練班第01期,42,20,7950,20240818,20240929
新北市工業會,新北市,159305,物料管理常見問題與解決對策實務班第01期,30,20,5690,20240824,20240921
基隆市全民勞工總工會,基隆市,159308,金融投資理財工具實務班,42,25,9150,20240907,20241019
基隆市全民勞工總工會,基隆市,159312,生成式AI與自媒體運用班,42,25,8760,20240901,20241013
基隆市全民勞工總工會,基隆市,159316,節能家電維修與保養班,42,24,10460,20240901,20241013
宜蘭縣總工會附設職業訓練中心,宜蘭縣,159322,民俗調理業傳統整復推拿班,56,18,9600,20240910,20241112
社團法人台灣職場技能協進會,臺北市,159326,商務觀光韓語初階班,45,20,8410,20240812,20240930
中華電力技術人員培訓協會,桃園市,159327,自來水配管實務班,98,20,21190,20240817,20241020
社團法人台灣職場技能協進會,臺北市,159337,韓語初階班,36,20,6780,20240831,20241012
宜蘭縣總工會,宜蘭縣,159338,異國料理實作班,57,18,11500,20240903,20241112
社團法人臺灣文化創意產業協會,臺北市,159345,手機商業攝影與行銷影音製作實務班第02期,60,26,9900,20240813,20241024
花蓮縣專業職能培訓人員職業工會,花蓮縣,159348,中餐烹調實務技能班,124,30,24000,20240819,20241104
社團法人臺灣服務稽核協會,臺北市,159350,實務神秘客培訓班,24,18,4750,20240823,20240825
花蓮縣專業職能培訓人員職業工會,花蓮縣,159351,烘焙麵包實務技能班,56,24,11550,20240817,20241026
花蓮縣專業職能培訓人員職業工會,花蓮縣,159355,烘焙蛋糕實務技能班,45,25,10650,20240829,20241020
中華整體美學交流協會,桃園市,159358,保健芳療精油調配應用實務班,72,18,16600,20240904,20241127
社團法人中華不動產教育交流協會,桃園市,159362,地政士土地稅法規與土地登記實務班,96,20,15800,20240901,20241117
財團法人台灣經濟研究院,臺北市,159369,商英中級閱讀與翻譯實戰班,36,22,5500,20240815,20241107
財團法人台灣經濟研究院,臺北市,159373,商英多益聽讀班,36,23,5420,20240820,20241112
台北市鐘錶眼鏡業職業工會,臺北市,159375,裂隙燈實作班,24,30,4750,20240908,20241006
財團法人台灣經濟研究院,臺北市,159376,商用韓語會話班,36,22,5450,20240904,20241120
